run	enabled	calibrate	applied	iter	final	free_radius	static_bound	n_calib	drift_p50	drift_p75	drift_p90	drift_p95	drift_max	rows_meas	ctl_rows	ctl_p75	ctl_p90	ctl_p95	scale_p50	scale_p90	volume	teleports	errors
G_hi_diag_2	True	True	29999	30000	True	0.0038050198927521706	0.006571843737675345	7	0.002564721740782261	0.00336820469237864	0.003777840128168464	0.0038029015995562077	1.9257912635803223	5396253	109804	0.004316614358685911	0.0060263266786932945	0.007658728957176199	0.0011617549462243915	0.004890472162514923	733.9103701582641	12908653	0
G_split_q60_1	True	True	29999	30000	True	0.0028440281748771667	0.006571843737675345	11	0.001933170948177576	0.002523300121538341	0.002788062207400799	0.0032350661116652183	2.5055510997772217	6265814	128074	0.003619579831138253	0.005032033752650022	0.00623902091756463	0.00144389143679291	0.006259483750909567	299.6469327268617	1916539	0
G_split_q60_2	True	True	29999	30000	True	0.002846070332452655	0.006571276302488365	11	0.0019379800651222467	0.002526089083403349	0.0027903933078050613	0.0032388310646638274	13.018532752990723	6256991	127986	0.003615429741330445	0.005023325094953179	0.006198789807967842	0.0014325070660561323	0.006249067652970554	286.19854674625196	1932735	0
P0_nocal	True	False	1999	2000	True	0.006571843737675345	0.006571843737675345	0	0.00046764039143454283	0.0007037840405246243	0.0009563020430505276	0.0011537717771716415	0.006587212439626455	7884100					0.0012030673678964376	0.004597530933097008	115.03479187655097	2232	0
P0_smoke	True	True	1999	2000	True	0.0008214804672094182	0.006571843737675345	1	0.000474501313874498	0.0007087863050401211	0.0008220955496653914	0.0008237809524871409	0.0008586989133618772	7726433	157669	0.0007094261818565428	0.0009632372879423204	0.0011567772133275866	0.0012112922267988324	0.004615622712299233	115.17082308182668	2230	0
P1_base_1	False	False	0	30000	True	0.006571980011420551	0.006571980011420551	0	0.002368142013438046	0.003438866406213492	0.004718094132840633	0.005783697939477861	10.878981590270996	6371030					0.0014493557973764837	0.006191213289275769	290.6303781848136	1922420	0
P1_base_2	False	False	0	30000	True	0.006571611691771761	0.006571611691771761	0	0.0023517441004514694	0.003418993204832077	0.00470087369903922	0.00577547927387057	11.407795906066895	6356423					0.0014392453012987971	0.006211074534803629	297.4298747392129	1941321	0
P2_calib_1	True	True	29999	30000	True	0.00320930196903646	0.006571843737675345	10	0.002066513756290078	0.0027525752084329724	0.0031728981994092464	0.0032075641211122274	3.4223272800445557	6262251	127815	0.0035896464250981808	0.005008466634899378	0.0062290721107274285	0.001448081573471427	0.006335604283958675	324.0268975642858	1920562	0
P2_calib_2	True	True	29999	30000	True	0.0031726013403385878	0.006571980011420551	10	0.0020655819680541754	0.002757471986114979	0.0031522433739155534	0.0031716497614979744	1.7517549991607666	6253965	127967	0.0035937433131039143	0.00502164149656892	0.006234353454783559	0.0014483273262158036	0.006318116793409002	309.42017292422776	1931170	0
P3_fixed10_1	True	False	29999	30000	True	0.0032859218688376726	0.0032859218688376726	0	0.0022712715435773134	0.0030167584773153067	0.0032779332250356674	0.0032860080245882273	4.636788368225098	6351141					0.0014580102870240808	0.006383416987955572	309.19486412348664	1960044	0
P3_fixed10_2	True	False	29999	30000	True	0.003285398665397515	0.003285398665397515	0	0.0022716394159942865	0.003015885828062892	0.0032773413695394993	0.003285489045083523	1.7139533758163452	6359439					0.001459515478927642	0.006363738654181368	298.3721192013974	1951526	0
P4_base_3	False	False	0	30000	True	0.0065721660473930825	0.0065721660473930825	0	0.002368575893342495	0.0034387048799544573	0.004720322787761688	0.005789925344288349	79.9710464477539	6360411					0.0014487621374428272	0.006202953541651372	295.75263822386967	1934377	0
P4_base_4	False	False	0	30000	True	0.006571843737675345	0.006571843737675345	0	0.002372878836467862	0.0034477717708796263	0.0047331382520496845	0.005803304910659786	41.40486526489258	6358013					0.0014419879298657179	0.006199189415201549	283.10370227710104	1941302	0
P4_base_5	False	False	0	30000	True	0.006571843737675345	0.006571843737675345	0	0.0023676909040659666	0.0034345127642154694	0.004710506834089755	0.00578155987896025	11.02344799041748	6348443					0.0014440474333241582	0.006201052479445939	287.4319541741803	1952939	0
P4_base_6	False	False	0	30000	True	0.006571843737675345	0.006571843737675345	0	0.0023602345027029514	0.0034274375066161156	0.004710332304239274	0.005786354187875982	93.86116790771484	6352069					0.0014418838545680046	0.006191839277744295	292.5232102445539	1934970	0
P5_base_hi_1	False	False	0	30000	True	0.006572032505317752	0.006572032505317752	0	0.0028674753848463297	0.004143963800743222	0.0057662982493639	0.007276556454598904	13.559784889221191	5486235					0.0011643324396573007	0.0048475107178092	743.3686569672309	13018173	0
P5_base_hi_2	False	False	0	30000	True	0.006571980011420551	0.006571980011420551	0	0.0028883686754852533	0.0041788865346461535	0.005815636133775115	0.007331587839871645	11.302519798278809	5479276					0.001167358597740531	0.004844973795115948	660.0387923717287	12956158	0
P5_calib_hi_1	True	True	29999	30000	True	0.0038774097338318825	0.006571980011420551	8	0.0025653158081695437	0.0033590481616556644	0.0038183474680408835	0.0038734800182282925	16.6568660736084	5384468	109781	0.004304952919483185	0.006052442826330662	0.007681214716285467	0.0011586470063775778	0.0048737009055912495	811.1427322728921	12887924	0
P5_calib_hi_2	True	True	29999	30000	True	0.003861034056171775	0.0065720713661432326	8	0.0025580725632607937	0.0033522038720548153	0.003809007816016674	0.0038574866484850645	1.758566975593567	5398381	109843	0.004280964145436883	0.006025648396462203	0.007652688119560477	0.0011666460195556283	0.00490623340010643	714.7604909030073	12904192	0
T_base_1	False	False	0	30000	True	0.006571843737675345	0.006571843737675345	0	0.0023560081608593464	0.0034226225689053535	0.004701107740402222	0.005771121126599608	18.38922691345215	6347708					0.0014364836970344186	0.006202219519764185	296.4011613052357	1945323	0
T_base_2	False	False	0	30000	True	0.006571843737675345	0.006571843737675345	0	0.002366397646255791	0.003437994047999382	0.0047193395905196665	0.0057835815940052255	19.188528060913086	6371468					0.001448701717890799	0.006205984251573692	297.046598143036	1921647	0
V_base_1	False	False	0	30000	True	0.006571611691771761	0.006571611691771761	0	0.0023517583031207323	0.0034151701256632805	0.004692116100341081	0.005762716848403215	46.551963806152344	6355753					0.0014409919967874885	0.00620212187059224	305.7078128611717	1941049	0
V_calib_1	True	True	29999	30000	True	0.0028328564949333668	0.006571611691771761	11	0.0019281136337667704	0.0025020501343533397	0.002755636116489768	0.002825778187252581	3.0551817417144775	6268532	127985	0.003627211321145296	0.005041188467293978	0.006308257766067981	0.0014485836727544665	0.006362579995766289	310.25872445195284	1921642	0
